('56349', 1, 372, 167826)
('2J789', 1, 877, 67138)
('Q5497', 1, 32, 434258)
('7T584', 1, 820, 256077)
('6K3AT', 1, 7, 225591)
('79J5T', 1, 487, 254473)
('T9723', 1, 229, 368888)
('83A5K', 1, 131, 277016)
('A3894', 1, 244, 506383)
('48AJK', 1, 476, 137156)
('T253J', 1, 576, 349310)
('9A643', 1, 223, 344024)
('KQ78J', 1, 296, 492460)
('2AJKQ', 1, 952, 76227)
('246Q7', 1, 8, 47788)
('KT345', 1, 382, 486126)
('64K32', 1, 169, 202693)
('35862', 1, 629, 89251)
('7463T', 1, 933, 239745)
('TQK26', 1, 88, 378299)
('63T9A', 1, 905, 199457)
('53872', 1, 363, 160609)
('K746A', 1, 399, 478127)
('683K2', 1, 35, 211849)
('46857', 1, 759, 130402)
('K2549', 1, 389, 464570)
('85T34', 1, 836, 281683)
('495QK', 1, 678, 138150)
('67T94', 1, 755, 210423)
('694J8', 1, 95, 214767)
('2A68J', 1, 227, 75176)
('J9Q8K', 1, 334, 408378)
('8K49T', 1, 222, 302549)
('Q8745', 1, 632, 443006)
('A4T87', 1, 267, 509508)
('873AK', 1, 518, 285962)
('73JA5', 1, 164, 238130)
('3Q284', 1, 201, 107313)
('54J89', 1, 866, 163962)
('Q84AJ', 1, 783, 442564)
('K4298', 1, 460, 469539)
('TQ2KA', 1, 554, 376305)
('3KQ84', 1, 33, 112017)
('5A3JK', 1, 65, 189880)
('Q8K54', 1, 470, 444195)
('92J8Q', 1, 837, 312141)
('TJA43', 1, 858, 375776)
('T82J6', 1, 496, 365293)
('K9875', 1, 268, 484404)
('Q589J', 1, 891, 435046)
('A8739', 1, 723, 519828)
('9Q263', 1, 773, 337780)
('2963K', 1, 593, 61388)
('36524', 1, 181, 91353)
('K8J75', 1, 637, 482248)
('4582A', 1, 97, 127623)
('86JQ5', 1, 443, 284750)
('87J43', 1, 491, 287380)
('5QJ76', 1, 664, 185897)
('972AT', 1, 710, 324179)
('4AJ27', 1, 914, 152900)
('59J64', 1, 170, 177649)
('AJ924', 1, 118, 528433)
('35A2K', 1, 563, 90382)
('T3A5K', 1, 601, 353848)
('569Q2', 1, 943, 169107)
('Q48J7', 1, 54, 432326)
('A7342', 1, 514, 516307)
('34T5J', 1, 766, 86894)
('74K82', 1, 729, 241179)
('JT752', 1, 454, 410089)
('46JTK', 1, 901, 131066)
('432KA', 1, 903, 121113)
('2AKQ3', 1, 640, 76596)
('7J692', 1, 542, 259029)
('28AK6', 1, 598, 60345)
('2J89K', 1, 897, 67352)
('Q3K94', 1, 276, 430531)
('95Q6J', 1, 807, 320540)
('54TQ7', 1, 230, 163820)
('4KTJQ', 1, 256, 150091)
('986JQ', 1, 113, 327667)
('75JA2', 1, 467, 243615)
('82Q4J', 1, 432, 273864)
('2AKJ3', 1, 500, 76582)
('254K6', 1, 255, 50153)
('382J9', 1, 127, 96384)
('48KJ7', 1, 501, 136954)
('27K98', 1, 150, 57351)
('6584Q', 1, 237, 204481)
('A958T', 1, 446, 522251)
('T74Q2', 1, 846, 362951)
('3T8J4', 1, 948, 103043)
('QT5J9', 1, 350, 448204)
('52K63', 1, 441, 158832)
('Q245J', 1, 574, 425974)
('3J76K', 1, 559, 105530)
('29A53', 1, 414, 62974)
('4T265', 1, 83, 140214)
('TJ52K', 1, 214, 373994)
('4A6T5', 1, 896, 152030)
('K59A4', 1, 349, 473721)
('A32J9', 1, 841, 505240)
('8947T', 1, 546, 291545)
('43A8T', 1, 512, 123391)
('79J54', 1, 270, 254467)
('K7J96', 1, 480, 479533)
('38Q4J', 1, 297, 98248)
('28K96', 1, 260, 60093)
('64287', 1, 307, 200612)
